127.0.0.1, 2012-07-13 18:30:44, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2012-07-13 18:30:45, GET, /welcome/default/index, HTTP/1.1, 200, 1.190000
127.0.0.1, 2012-07-13 18:31:56, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2012-07-13 18:31:56, GET, /welcome/default/index, HTTP/1.1, 200, 0.174000
127.0.0.1, 2012-07-13 18:31:58, GET, /admin/default/index, HTTP/1.1, 200, 0.306000
127.0.0.1, 2012-07-13 18:31:58, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2012-07-13 18:31:58, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.027000
127.0.0.1, 2012-07-13 18:31:58, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.029000
127.0.0.1, 2012-07-13 18:31:58, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.022000
127.0.0.1, 2012-07-13 18:31:58, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.031000
127.0.0.1, 2012-07-13 18:31:58, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2012-07-13 18:31:58, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2012-07-13 18:31:58, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.010000
127.0.0.1, 2012-07-13 18:31:59, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2012-07-13 18:31:59, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2012-07-13 18:31:59, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2012-07-13 18:31:59, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2012-07-13 18:31:59, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.003000
